LOCATION,INDICATOR,SUBJECT,MEASURE,FREQUENCY,TIME_OF_PROD,VALUE_PROD,Flag Codes
POL,OILPROD,TOT,KTOE,A,2002,738.815,
POL,OILPROD,TOT,KTOE,A,2003,766.498,
POL,OILPROD,TOT,KTOE,A,2004,890.486,
POL,OILPROD,TOT,KTOE,A,2005,845.833,
POL,OILPROD,TOT,KTOE,A,2006,810.487,
POL,OILPROD,TOT,KTOE,A,2007,730.747,
POL,OILPROD,TOT,KTOE,A,2008,770.779,
POL,OILPROD,TOT,KTOE,A,2009,692.825,
POL,OILPROD,TOT,KTOE,A,2010,697.485,
POL,OILPROD,TOT,KTOE,A,2011,626.653,
POL,OILPROD,TOT,KTOE,A,2012,691.589,
POL,OILPROD,TOT,KTOE,A,2013,981.967,
POL,OILPROD,TOT,KTOE,A,2014,969.626,
POL,OILPROD,TOT,KTOE,A,2015,945.333,
POL,OILPROD,TOT,KTOE,A,2016,1016.11,
POL,OILPROD,TOT,KTOE,A,2017,1011.035,
PRT,OILPROD,TOT,KTOE,A,2000,0,
PRT,OILPROD,TOT,KTOE,A,2001,0,
PRT,OILPROD,TOT,KTOE,A,2002,0,
PRT,OILPROD,TOT,KTOE,A,2003,0,
PRT,OILPROD,TOT,KTOE,A,2004,0,
PRT,OILPROD,TOT,KTOE,A,2005,0,
PRT,OILPROD,TOT,KTOE,A,2006,0,
PRT,OILPROD,TOT,KTOE,A,2007,0,
PRT,OILPROD,TOT,KTOE,A,2008,0,
PRT,OILPROD,TOT,KTOE,A,2009,0,
PRT,OILPROD,TOT,KTOE,A,2010,0,
PRT,OILPROD,TOT,KTOE,A,2011,0,
PRT,OILPROD,TOT,KTOE,A,2012,0,
PRT,OILPROD,TOT,KTOE,A,2013,0,
PRT,OILPROD,TOT,KTOE,A,2014,0,
PRT,OILPROD,TOT,KTOE,A,2015,0,
PRT,OILPROD,TOT,KTOE,A,2016,0,
PRT,OILPROD,TOT,KTOE,A,2017,0,
SVK,OILPROD,TOT,KTOE,A,2000,58.586,
SVK,OILPROD,TOT,KTOE,A,2001,45.76,
SVK,OILPROD,TOT,KTOE,A,2002,43.771,
SVK,OILPROD,TOT,KTOE,A,2003,41.781,
SVK,OILPROD,TOT,KTOE,A,2004,37.666,
SVK,OILPROD,TOT,KTOE,A,2005,30.505,
SVK,OILPROD,TOT,KTOE,A,2006,27.754,
SVK,OILPROD,TOT,KTOE,A,2007,21.702,
SVK,OILPROD,TOT,KTOE,A,2008,17.713,
SVK,OILPROD,TOT,KTOE,A,2009,14.761,
SVK,OILPROD,TOT,KTOE,A,2010,12.793,
SVK,OILPROD,TOT,KTOE,A,2011,14.761,
SVK,OILPROD,TOT,KTOE,A,2012,10.824,
SVK,OILPROD,TOT,KTOE,A,2013,9.84,
SVK,OILPROD,TOT,KTOE,A,2014,8.856,
SVK,OILPROD,TOT,KTOE,A,2015,9.84,
SVK,OILPROD,TOT,KTOE,A,2016,8.256,
SVK,OILPROD,TOT,KTOE,A,2017,6.192,
ESP,OILPROD,TOT,KTOE,A,2000,231.321,
ESP,OILPROD,TOT,KTOE,A,2001,344.434,
ESP,OILPROD,TOT,KTOE,A,2002,322.015,
ESP,OILPROD,TOT,KTOE,A,2003,328.13,
ESP,OILPROD,TOT,KTOE,A,2004,259.854,
ESP,OILPROD,TOT,KTOE,A,2005,169.16,
ESP,OILPROD,TOT,KTOE,A,2006,141.646,
ESP,OILPROD,TOT,KTOE,A,2007,144.703,
ESP,OILPROD,TOT,KTOE,A,2008,129.418,
ESP,OILPROD,TOT,KTOE,A,2009,106.999,
ESP,OILPROD,TOT,KTOE,A,2010,125.341,
ESP,OILPROD,TOT,KTOE,A,2011,101.904,
ESP,OILPROD,TOT,KTOE,A,2012,144.703,
ESP,OILPROD,TOT,KTOE,A,2013,375.005,
ESP,OILPROD,TOT,KTOE,A,2014,310.806,
ESP,OILPROD,TOT,KTOE,A,2015,236.416,
ESP,OILPROD,TOT,KTOE,A,2016,143.684,
ESP,OILPROD,TOT,KTOE,A,2017,120.246,
SWE,OILPROD,TOT,KTOE,A,2000,0,
SWE,OILPROD,TOT,KTOE,A,2001,0,
SWE,OILPROD,TOT,KTOE,A,2002,0,
SWE,OILPROD,TOT,KTOE,A,2003,0,
SWE,OILPROD,TOT,KTOE,A,2004,0,
SWE,OILPROD,TOT,KTOE,A,2005,0,
SWE,OILPROD,TOT,KTOE,A,2006,0,
SWE,OILPROD,TOT,KTOE,A,2007,0,
SWE,OILPROD,TOT,KTOE,A,2008,0,
SWE,OILPROD,TOT,KTOE,A,2009,0,
SWE,OILPROD,TOT,KTOE,A,2010,0,
SWE,OILPROD,TOT,KTOE,A,2011,0,
SWE,OILPROD,TOT,KTOE,A,2012,0,
SWE,OILPROD,TOT,KTOE,A,2013,0,
SWE,OILPROD,TOT,KTOE,A,2014,0,
SWE,OILPROD,TOT,KTOE,A,2015,0,
SWE,OILPROD,TOT,KTOE,A,2016,0,
SWE,OILPROD,TOT,KTOE,A,2017,0,
CHE,OILPROD,TOT,KTOE,A,2000,0,
CHE,OILPROD,TOT,KTOE,A,2001,0,
CHE,OILPROD,TOT,KTOE,A,2002,0,
CHE,OILPROD,TOT,KTOE,A,2003,0,
CHE,OILPROD,TOT,KTOE,A,2004,0,
CHE,OILPROD,TOT,KTOE,A,2005,0,
